CpG	BP
cg1	1017115
cg2	1026410
cg3	1043888
cg4	1067223
cg5	1097270
cg6	1098992
cg7	1104316
cg8	1132962
cg9	1142405
cg10	1157684
cg11	1178039
cg12	1242732
cg13	1242895
cg14	1268793
cg15	1272559
cg16	1290712
cg17	1335424
cg18	1347671
cg19	1348792
cg20	1355235
cg21	1361077
cg22	1385171
cg23	1404073
cg24	1449754
cg25	1483257
cg26	1525452
cg27	1564422
cg28	1565541
cg29	1566374
cg30	1604298
cg31	1630742
cg32	1655803
cg33	1691916
cg34	1696692
cg35	1713950
cg36	1838518
cg37	1840482
cg38	1906947
cg39	1935561
cg40	1946355
cg41	1951356
cg42	1959442
cg43	1991051
cg44	1993016
cg45	2003864
cg46	2004346
cg47	2028213
cg48	2037476
cg49	2061836
cg50	2073900
cg51	2084595
cg52	2109388
cg53	2130580
cg54	2144244
cg55	2158622
cg56	2160666
cg57	2214240
cg58	2228160
cg59	2234291
cg60	2249617
cg61	2250796
cg62	2252019
cg63	2259065
cg64	2288167
cg65	2302183
cg66	2304264
cg67	2323029
cg68	2332075
cg69	2334022
cg70	2338738
cg71	2344089
cg72	2375420
cg73	2379831
cg74	2383687
cg75	2386451
cg76	2412743
cg77	2415344
cg78	2428080
cg79	2431753
cg80	2434487
cg81	2439424
cg82	2443577
cg83	2456436
cg84	2472336
cg85	2516401
cg86	2526950
cg87	2706335
cg88	2839935
cg89	2847213
cg90	2883706
cg91	2886818
cg92	2915875
cg93	2918106
cg94	2948512
cg95	2977861
cg96	3011304
cg97	3057810
cg98	3105189
cg99	3123695
cg100	3147891
cg101	50514460
cg102	50798265
cg103	50882082
cg104	50887477
cg105	50889225
cg106	51034865
cg107	51425360
cg108	51425685
cg109	51443449
cg110	51701740
cg111	51984042
cg112	52344227
cg113	52455390
cg114	52498044
cg115	52498993
cg116	52521894
cg117	52608409
cg118	52830898
cg119	52869541
cg120	52870154
cg121	53040491
cg122	53099352
cg123	53190312
cg124	53309162
cg125	53385434
cg126	53442535
cg127	53588449
cg128	53600741
cg129	53631322
cg130	53742112
cg131	53905742
cg132	53924763
cg133	53925053
cg134	54200587
cg135	54209080
cg136	54719938
cg137	54822031
cg138	55008319
cg139	55223006
cg140	55246213
cg141	55250817
cg142	55356234
cg143	55460884
cg144	55463592
cg145	55504649
cg146	55505532
cg147	55535598
cg148	56454285
cg149	56942628
cg150	56946754
cg151	57004017
cg152	57888707
cg153	58089001
cg154	58718544
cg155	59042113
cg156	59046173
cg157	59221344
cg158	59248673
cg159	59249218
cg160	59593751
cg161	59762044
cg162	60197222
cg163	60340545
cg164	61314297
cg165	61508924
cg166	61549010
cg167	61750543
cg168	61784017
cg169	62054902
cg170	62190933
cg171	62785512
cg172	63043009
cg173	63783167
cg174	63785003
cg175	63795636
cg176	63938797
cg177	64239440
cg178	64240202
cg179	64434320
cg180	64578227
cg181	64992433
cg182	65327523
cg183	65362428
cg184	65468017
cg185	65468815
cg186	65530538
cg187	65613819
cg188	65731689
cg189	65991461
cg190	66258760
cg191	66998806
cg192	66999684
cg193	67169989
cg194	67389884
cg195	67773020
cg196	67900465
cg197	68225713
cg198	68512928
cg199	68514311
cg200	68695183
